id,zone,start,end,transaction_hour,meter_transactions,spaces,rate,type,free_spaces
5614,407 - Oakland 1,1/4/2014 14:30,1/4/2014 14:40,14,10,227,3,on-street,217
5649,407 - Oakland 1,1/4/2014 14:40,1/4/2014 14:50,14,14,220,3,on-street,206
5649,407 - Oakland 1,1/4/2014 14:40,1/4/2014 14:50,14,14,227,3,on-street,213
5677,407 - Oakland 1,1/4/2014 14:50,1/4/2014 15:00,14,10,220,3,on-street,210
5677,407 - Oakland 1,1/4/2014 14:50,1/4/2014 15:00,14,10,227,3,on-street,217
5712,407 - Oakland 1,1/4/2014 15:00,1/4/2014 15:10,15,11,220,3,on-street,209
5712,407 - Oakland 1,1/4/2014 15:00,1/4/2014 15:10,15,11,227,3,on-street,216
5743,407 - Oakland 1,1/4/2014 15:10,1/4/2014 15:20,15,15,220,3,on-street,205
5743,407 - Oakland 1,1/4/2014 15:10,1/4/2014 15:20,15,15,227,3,on-street,212
5777,407 - Oakland 1,1/4/2014 15:20,1/4/2014 15:30,15,18,220,3,on-street,202
5777,407 - Oakland 1,1/4/2014 15:20,1/4/2014 15:30,15,18,227,3,on-street,209
5807,407 - Oakland 1,1/4/2014 15:30,1/4/2014 15:40,15,15,220,3,on-street,205
5807,407 - Oakland 1,1/4/2014 15:30,1/4/2014 15:40,15,15,227,3,on-street,212
5839,407 - Oakland 1,1/4/2014 15:40,1/4/2014 15:50,15,14,220,3,on-street,206
5839,407 - Oakland 1,1/4/2014 15:40,1/4/2014 15:50,15,14,227,3,on-street,213
5872,407 - Oakland 1,1/4/2014 15:50,1/4/2014 16:00,15,6,220,3,on-street,214
5872,407 - Oakland 1,1/4/2014 15:50,1/4/2014 16:00,15,6,227,3,on-street,221
5906,407 - Oakland 1,1/4/2014 16:00,1/4/2014 16:10,16,7,220,3,on-street,213
5906,407 - Oakland 1,1/4/2014 16:00,1/4/2014 16:10,16,7,227,3,on-street,220
5935,407 - Oakland 1,1/4/2014 16:10,1/4/2014 16:20,16,10,220,3,on-street,210
5935,407 - Oakland 1,1/4/2014 16:10,1/4/2014 16:20,16,10,227,3,on-street,217
5964,407 - Oakland 1,1/4/2014 16:20,1/4/2014 16:30,16,8,220,3,on-street,212
5964,407 - Oakland 1,1/4/2014 16:20,1/4/2014 16:30,16,8,227,3,on-street,219
5991,407 - Oakland 1,1/4/2014 16:30,1/4/2014 16:40,16,7,220,3,on-street,213
5991,407 - Oakland 1,1/4/2014 16:30,1/4/2014 16:40,16,7,227,3,on-street,220
6023,407 - Oakland 1,1/4/2014 16:40,1/4/2014 16:50,16,6,220,3,on-street,214
6023,407 - Oakland 1,1/4/2014 16:40,1/4/2014 16:50,16,6,227,3,on-street,221
6056,407 - Oakland 1,1/4/2014 16:50,1/4/2014 17:00,16,10,220,3,on-street,210
6056,407 - Oakland 1,1/4/2014 16:50,1/4/2014 17:00,16,10,227,3,on-street,217
6087,407 - Oakland 1,1/4/2014 17:00,1/4/2014 17:10,17,15,220,3,on-street,205
6087,407 - Oakland 1,1/4/2014 17:00,1/4/2014 17:10,17,15,227,3,on-street,212
6116,407 - Oakland 1,1/4/2014 17:10,1/4/2014 17:20,17,6,220,3,on-street,214
6116,407 - Oakland 1,1/4/2014 17:10,1/4/2014 17:20,17,6,227,3,on-street,221
6146,407 - Oakland 1,1/4/2014 17:20,1/4/2014 17:30,17,6,220,3,on-street,214
6146,407 - Oakland 1,1/4/2014 17:20,1/4/2014 17:30,17,6,227,3,on-street,221
6177,407 - Oakland 1,1/4/2014 17:30,1/4/2014 17:40,17,8,220,3,on-street,212
6177,407 - Oakland 1,1/4/2014 17:30,1/4/2014 17:40,17,8,227,3,on-street,219
6205,407 - Oakland 1,1/4/2014 17:40,1/4/2014 17:50,17,5,220,3,on-street,215
6205,407 - Oakland 1,1/4/2014 17:40,1/4/2014 17:50,17,5,227,3,on-street,222
6262,407 - Oakland 1,1/4/2014 18:00,1/4/2014 18:10,18,3,220,3,on-street,217
6262,407 - Oakland 1,1/4/2014 18:00,1/4/2014 18:10,18,3,227,3,on-street,224
6289,407 - Oakland 1,1/4/2014 18:10,1/4/2014 18:20,18,6,220,3,on-street,214
6289,407 - Oakland 1,1/4/2014 18:10,1/4/2014 18:20,18,6,227,3,on-street,221
6311,407 - Oakland 1,1/4/2014 18:20,1/4/2014 18:30,18,2,220,3,on-street,218
6311,407 - Oakland 1,1/4/2014 18:20,1/4/2014 18:30,18,2,227,3,on-street,225
6363,407 - Oakland 1,1/4/2014 18:40,1/4/2014 18:50,18,1,220,3,on-street,219
6363,407 - Oakland 1,1/4/2014 18:40,1/4/2014 18:50,18,1,227,3,on-street,226
6384,407 - Oakland 1,1/4/2014 18:50,1/4/2014 19:00,18,1,220,3,on-street,219
6384,407 - Oakland 1,1/4/2014 18:50,1/4/2014 19:00,18,1,227,3,on-street,226
6426,407 - Oakland 1,1/4/2014 19:10,1/4/2014 19:20,19,2,220,3,on-street,218
6426,407 - Oakland 1,1/4/2014 19:10,1/4/2014 19:20,19,2,227,3,on-street,225
6449,407 - Oakland 1,1/4/2014 19:20,1/4/2014 19:30,19,1,220,3,on-street,219
6449,407 - Oakland 1,1/4/2014 19:20,1/4/2014 19:30,19,1,227,3,on-street,226
6473,407 - Oakland 1,1/4/2014 19:30,1/4/2014 19:40,19,1,220,3,on-street,219
6473,407 - Oakland 1,1/4/2014 19:30,1/4/2014 19:40,19,1,227,3,on-street,226
6507,407 - Oakland 1,1/4/2014 19:50,1/4/2014 20:00,19,1,220,3,on-street,219
6507,407 - Oakland 1,1/4/2014 19:50,1/4/2014 20:00,19,1,227,3,on-street,226
6687,407 - Oakland 1,1/4/2014 21:50,1/4/2014 22:00,21,1,220,3,on-street,219
6687,407 - Oakland 1,1/4/2014 21:50,1/4/2014 22:00,21,1,227,3,on-street,226
6694,407 - Oakland 1,1/4/2014 22:00,1/4/2014 22:10,22,1,220,3,on-street,219
6694,407 - Oakland 1,1/4/2014 22:00,1/4/2014 22:10,22,1,227,3,on-street,226
6726,407 - Oakland 1,1/5/2014 8:20,1/5/2014 8:30,8,1,220,3,on-street,219
6726,407 - Oakland 1,1/5/2014 8:20,1/5/2014 8:30,8,1,227,3,on-street,226
6727,407 - Oakland 1,1/5/2014 8:30,1/5/2014 8:40,8,1,220,3,on-street,219
6727,407 - Oakland 1,1/5/2014 8:30,1/5/2014 8:40,8,1,227,3,on-street,226
6729,407 - Oakland 1,1/5/2014 8:40,1/5/2014 8:50,8,1,220,3,on-street,219
6729,407 - Oakland 1,1/5/2014 8:40,1/5/2014 8:50,8,1,227,3,on-street,226
6733,407 - Oakland 1,1/5/2014 10:00,1/5/2014 10:10,10,1,220,3,on-street,219
6733,407 - Oakland 1,1/5/2014 10:00,1/5/2014 10:10,10,1,227,3,on-street,226
6739,407 - Oakland 1,1/5/2014 11:40,1/5/2014 11:50,11,1,220,3,on-street,219
6739,407 - Oakland 1,1/5/2014 11:40,1/5/2014 11:50,11,1,227,3,on-street,226
6742,407 - Oakland 1,1/5/2014 12:10,1/5/2014 12:20,12,1,220,3,on-street,219
6742,407 - Oakland 1,1/5/2014 12:10,1/5/2014 12:20,12,1,227,3,on-street,226
6745,407 - Oakland 1,1/5/2014 12:40,1/5/2014 12:50,12,2,220,3,on-street,218
6745,407 - Oakland 1,1/5/2014 12:40,1/5/2014 12:50,12,2,227,3,on-street,225
6746,407 - Oakland 1,1/5/2014 12:50,1/5/2014 13:00,12,2,220,3,on-street,218
6746,407 - Oakland 1,1/5/2014 12:50,1/5/2014 13:00,12,2,227,3,on-street,225
6752,407 - Oakland 1,1/5/2014 13:30,1/5/2014 13:40,13,3,220,3,on-street,217
6752,407 - Oakland 1,1/5/2014 13:30,1/5/2014 13:40,13,3,227,3,on-street,224
6756,407 - Oakland 1,1/5/2014 14:00,1/5/2014 14:10,14,2,220,3,on-street,218
6756,407 - Oakland 1,1/5/2014 14:00,1/5/2014 14:10,14,2,227,3,on-street,225
6760,407 - Oakland 1,1/5/2014 14:20,1/5/2014 14:30,14,1,220,3,on-street,219
6760,407 - Oakland 1,1/5/2014 14:20,1/5/2014 14:30,14,1,227,3,on-street,226
6762,407 - Oakland 1,1/5/2014 14:30,1/5/2014 14:40,14,1,220,3,on-street,219
6762,407 - Oakland 1,1/5/2014 14:30,1/5/2014 14:40,14,1,227,3,on-street,226
6765,407 - Oakland 1,1/5/2014 14:40,1/5/2014 14:50,14,2,220,3,on-street,218
6765,407 - Oakland 1,1/5/2014 14:40,1/5/2014 14:50,14,2,227,3,on-street,225
6770,407 - Oakland 1,1/6/2014 0:20,1/6/2014 0:30,0,1,220,3,on-street,219
6770,407 - Oakland 1,1/6/2014 0:20,1/6/2014 0:30,0,1,227,3,on-street,226
6771,407 - Oakland 1,1/6/2014 4:00,1/6/2014 4:10,4,1,220,3,on-street,219
6771,407 - Oakland 1,1/6/2014 4:00,1/6/2014 4:10,4,1,227,3,on-street,226
6777,407 - Oakland 1,1/6/2014 5:50,1/6/2014 6:00,5,1,220,3,on-street,219
6777,407 - Oakland 1,1/6/2014 5:50,1/6/2014 6:00,5,1,227,3,on-street,226
6782,407 - Oakland 1,1/6/2014 6:00,1/6/2014 6:10,6,1,220,3,on-street,219
6782,407 - Oakland 1,1/6/2014 6:00,1/6/2014 6:10,6,1,227,3,on-street,226
6785,407 - Oakland 1,1/6/2014 6:10,1/6/2014 6:20,6,1,220,3,on-street,219
6785,407 - Oakland 1,1/6/2014 6:10,1/6/2014 6:20,6,1,227,3,on-street,226
6789,407 - Oakland 1,1/6/2014 6:20,1/6/2014 6:30,6,1,220,3,on-street,219
6789,407 - Oakland 1,1/6/2014 6:20,1/6/2014 6:30,6,1,227,3,on-street,226
6795,407 - Oakland 1,1/6/2014 6:40,1/6/2014 6:50,6,3,220,3,on-street,217
6795,407 - Oakland 1,1/6/2014 6:40,1/6/2014 6:50,6,3,227,3,on-street,224
6802,407 - Oakland 1,1/6/2014 6:50,1/6/2014 7:00,6,3,220,3,on-street,217
6802,407 - Oakland 1,1/6/2014 6:50,1/6/2014 7:00,6,3,227,3,on-street,224
6811,407 - Oakland 1,1/6/2014 7:00,1/6/2014 7:10,7,2,220,3,on-street,218
6811,407 - Oakland 1,1/6/2014 7:00,1/6/2014 7:10,7,2,227,3,on-street,225
6822,407 - Oakland 1,1/6/2014 7:10,1/6/2014 7:20,7,1,220,3,on-street,219
6822,407 - Oakland 1,1/6/2014 7:10,1/6/2014 7:20,7,1,227,3,on-street,226
6834,407 - Oakland 1,1/6/2014 7:20,1/6/2014 7:30,7,2,220,3,on-street,218
6834,407 - Oakland 1,1/6/2014 7:20,1/6/2014 7:30,7,2,227,3,on-street,225
6849,407 - Oakland 1,1/6/2014 7:30,1/6/2014 7:40,7,3,220,3,on-street,217
6849,407 - Oakland 1,1/6/2014 7:30,1/6/2014 7:40,7,3,227,3,on-street,224
6864,407 - Oakland 1,1/6/2014 7:40,1/6/2014 7:50,7,4,220,3,on-street,216
6864,407 - Oakland 1,1/6/2014 7:40,1/6/2014 7:50,7,4,227,3,on-street,223
6884,407 - Oakland 1,1/6/2014 7:50,1/6/2014 8:00,7,21,220,3,on-street,199
6884,407 - Oakland 1,1/6/2014 7:50,1/6/2014 8:00,7,21,227,3,on-street,206
6908,407 - Oakland 1,1/6/2014 8:00,1/6/2014 8:10,8,11,220,3,on-street,209
6908,407 - Oakland 1,1/6/2014 8:00,1/6/2014 8:10,8,11,227,3,on-street,216
6930,407 - Oakland 1,1/6/2014 8:10,1/6/2014 8:20,8,18,220,3,on-street,202
6930,407 - Oakland 1,1/6/2014 8:10,1/6/2014 8:20,8,18,227,3,on-street,209
6953,407 - Oakland 1,1/6/2014 8:20,1/6/2014 8:30,8,15,220,3,on-street,205
6953,407 - Oakland 1,1/6/2014 8:20,1/6/2014 8:30,8,15,227,3,on-street,212
6983,407 - Oakland 1,1/6/2014 8:30,1/6/2014 8:40,8,14,220,3,on-street,206
6983,407 - Oakland 1,1/6/2014 8:30,1/6/2014 8:40,8,14,227,3,on-street,213
7008,407 - Oakland 1,1/6/2014 8:40,1/6/2014 8:50,8,11,220,3,on-street,209
7008,407 - Oakland 1,1/6/2014 8:40,1/6/2014 8:50,8,11,227,3,on-street,216
7035,407 - Oakland 1,1/6/2014 8:50,1/6/2014 9:00,8,15,220,3,on-street,205
7035,407 - Oakland 1,1/6/2014 8:50,1/6/2014 9:00,8,15,227,3,on-street,212
7062,407 - Oakland 1,1/6/2014 9:00,1/6/2014 9:10,9,15,220,3,on-street,205
7062,407 - Oakland 1,1/6/2014 9:00,1/6/2014 9:10,9,15,227,3,on-street,212
7090,407 - Oakland 1,1/6/2014 9:10,1/6/2014 9:20,9,14,220,3,on-street,206
7090,407 - Oakland 1,1/6/2014 9:10,1/6/2014 9:20,9,14,227,3,on-street,213
7118,407 - Oakland 1,1/6/2014 9:20,1/6/2014 9:30,9,16,220,3,on-street,204
7118,407 - Oakland 1,1/6/2014 9:20,1/6/2014 9:30,9,16,227,3,on-street,211
7146,407 - Oakland 1,1/6/2014 9:30,1/6/2014 9:40,9,14,220,3,on-street,206
7146,407 - Oakland 1,1/6/2014 9:30,1/6/2014 9:40,9,14,227,3,on-street,213
7175,407 - Oakland 1,1/6/2014 9:40,1/6/2014 9:50,9,15,220,3,on-street,205
7175,407 - Oakland 1,1/6/2014 9:40,1/6/2014 9:50,9,15,227,3,on-street,212
7208,407 - Oakland 1,1/6/2014 9:50,1/6/2014 10:00,9,17,220,3,on-street,203
7208,407 - Oakland 1,1/6/2014 9:50,1/6/2014 10:00,9,17,227,3,on-street,210
7237,407 - Oakland 1,1/6/2014 10:00,1/6/2014 10:10,10,23,220,3,on-street,197
7237,407 - Oakland 1,1/6/2014 10:00,1/6/2014 10:10,10,23,227,3,on-street,204
7263,407 - Oakland 1,1/6/2014 10:10,1/6/2014 10:20,10,21,220,3,on-street,199
7263,407 - Oakland 1,1/6/2014 10:10,1/6/2014 10:20,10,21,227,3,on-street,206
7293,407 - Oakland 1,1/6/2014 10:20,1/6/2014 10:30,10,14,220,3,on-street,206
7293,407 - Oakland 1,1/6/2014 10:20,1/6/2014 10:30,10,14,227,3,on-street,213
7323,407 - Oakland 1,1/6/2014 10:30,1/6/2014 10:40,10,11,220,3,on-street,209
7323,407 - Oakland 1,1/6/2014 10:30,1/6/2014 10:40,10,11,227,3,on-street,216
7359,407 - Oakland 1,1/6/2014 10:40,1/6/2014 10:50,10,15,220,3,on-street,205
7359,407 - Oakland 1,1/6/2014 10:40,1/6/2014 10:50,10,15,227,3,on-street,212
7390,407 - Oakland 1,1/6/2014 10:50,1/6/2014 11:00,10,23,220,3,on-street,197
7390,407 - Oakland 1,1/6/2014 10:50,1/6/2014 11:00,10,23,227,3,on-street,204
7421,407 - Oakland 1,1/6/2014 11:00,1/6/2014 11:10,11,12,220,3,on-street,208
7421,407 - Oakland 1,1/6/2014 11:00,1/6/2014 11:10,11,12,227,3,on-street,215
7450,407 - Oakland 1,1/6/2014 11:10,1/6/2014 11:20,11,25,220,3,on-street,195
7450,407 - Oakland 1,1/6/2014 11:10,1/6/2014 11:20,11,25,227,3,on-street,202
7482,407 - Oakland 1,1/6/2014 11:20,1/6/2014 11:30,11,16,220,3,on-street,204
7482,407 - Oakland 1,1/6/2014 11:20,1/6/2014 11:30,11,16,227,3,on-street,211
7513,407 - Oakland 1,1/6/2014 11:30,1/6/2014 11:40,11,9,220,3,on-street,211
7513,407 - Oakland 1,1/6/2014 11:30,1/6/2014 11:40,11,9,227,3,on-street,218
7543,407 - Oakland 1,1/6/2014 11:40,1/6/2014 11:50,11,14,220,3,on-street,206
7543,407 - Oakland 1,1/6/2014 11:40,1/6/2014 11:50,11,14,227,3,on-street,213
7575,407 - Oakland 1,1/6/2014 11:50,1/6/2014 12:00,11,12,220,3,on-street,208
7575,407 - Oakland 1,1/6/2014 11:50,1/6/2014 12:00,11,12,227,3,on-street,215
7607,407 - Oakland 1,1/6/2014 12:00,1/6/2014 12:10,12,29,220,3,on-street,191
7607,407 - Oakland 1,1/6/2014 12:00,1/6/2014 12:10,12,29,227,3,on-street,198
7636,407 - Oakland 1,1/6/2014 12:10,1/6/2014 12:20,12,19,220,3,on-street,201
7636,407 - Oakland 1,1/6/2014 12:10,1/6/2014 12:20,12,19,227,3,on-street,208
7677,407 - Oakland 1,1/6/2014 12:20,1/6/2014 12:30,12,24,220,3,on-street,196
7677,407 - Oakland 1,1/6/2014 12:20,1/6/2014 12:30,12,24,227,3,on-street,203
7711,407 - Oakland 1,1/6/2014 12:30,1/6/2014 12:40,12,30,220,3,on-street,190
7711,407 - Oakland 1,1/6/2014 12:30,1/6/2014 12:40,12,30,227,3,on-street,197
7747,407 - Oakland 1,1/6/2014 12:40,1/6/2014 12:50,12,21,220,3,on-street,199
7747,407 - Oakland 1,1/6/2014 12:40,1/6/2014 12:50,12,21,227,3,on-street,206
7779,407 - Oakland 1,1/6/2014 12:50,1/6/2014 13:00,12,25,220,3,on-street,195
7779,407 - Oakland 1,1/6/2014 12:50,1/6/2014 13:00,12,25,227,3,on-street,202
7810,407 - Oakland 1,1/6/2014 13:00,1/6/2014 13:10,13,20,220,3,on-street,200
7810,407 - Oakland 1,1/6/2014 13:00,1/6/2014 13:10,13,20,227,3,on-street,207
7839,407 - Oakland 1,1/6/2014 13:10,1/6/2014 13:20,13,19,220,3,on-street,201
7839,407 - Oakland 1,1/6/2014 13:10,1/6/2014 13:20,13,19,227,3,on-street,208
7872,407 - Oakland 1,1/6/2014 13:20,1/6/2014 13:30,13,15,220,3,on-street,205
7872,407 - Oakland 1,1/6/2014 13:20,1/6/2014 13:30,13,15,227,3,on-street,212
7900,407 - Oakland 1,1/6/2014 13:30,1/6/2014 13:40,13,18,220,3,on-street,202
7900,407 - Oakland 1,1/6/2014 13:30,1/6/2014 13:40,13,18,227,3,on-street,209
7933,407 - Oakland 1,1/6/2014 13:40,1/6/2014 13:50,13,14,220,3,on-street,206
7933,407 - Oakland 1,1/6/2014 13:40,1/6/2014 13:50,13,14,227,3,on-street,213
7965,407 - Oakland 1,1/6/2014 13:50,1/6/2014 14:00,13,22,220,3,on-street,198
7965,407 - Oakland 1,1/6/2014 13:50,1/6/2014 14:00,13,22,227,3,on-street,205
7995,407 - Oakland 1,1/6/2014 14:00,1/6/2014 14:10,14,17,220,3,on-street,203
7995,407 - Oakland 1,1/6/2014 14:00,1/6/2014 14:10,14,17,227,3,on-street,210
8029,407 - Oakland 1,1/6/2014 14:10,1/6/2014 14:20,14,19,220,3,on-street,201
8029,407 - Oakland 1,1/6/2014 14:10,1/6/2014 14:20,14,19,227,3,on-street,208
8057,407 - Oakland 1,1/6/2014 14:20,1/6/2014 14:30,14,10,220,3,on-street,210
8057,407 - Oakland 1,1/6/2014 14:20,1/6/2014 14:30,14,10,227,3,on-street,217
8084,407 - Oakland 1,1/6/2014 14:30,1/6/2014 14:40,14,15,220,3,on-street,205
8084,407 - Oakland 1,1/6/2014 14:30,1/6/2014 14:40,14,15,227,3,on-street,212
8113,407 - Oakland 1,1/6/2014 14:40,1/6/2014 14:50,14,13,220,3,on-street,207
8113,407 - Oakland 1,1/6/2014 14:40,1/6/2014 14:50,14,13,227,3,on-street,214
8145,407 - Oakland 1,1/6/2014 14:50,1/6/2014 15:00,14,20,220,3,on-street,200
8145,407 - Oakland 1,1/6/2014 14:50,1/6/2014 15:00,14,20,227,3,on-street,207
8174,407 - Oakland 1,1/6/2014 15:00,1/6/2014 15:10,15,23,220,3,on-street,197
8174,407 - Oakland 1,1/6/2014 15:00,1/6/2014 15:10,15,23,227,3,on-street,204
8201,407 - Oakland 1,1/6/2014 15:10,1/6/2014 15:20,15,17,220,3,on-street,203
8201,407 - Oakland 1,1/6/2014 15:10,1/6/2014 15:20,15,17,227,3,on-street,210
8230,407 - Oakland 1,1/6/2014 15:20,1/6/2014 15:30,15,13,220,3,on-street,207
8230,407 - Oakland 1,1/6/2014 15:20,1/6/2014 15:30,15,13,227,3,on-street,214
8259,407 - Oakland 1,1/6/2014 15:30,1/6/2014 15:40,15,14,220,3,on-street,206
8259,407 - Oakland 1,1/6/2014 15:30,1/6/2014 15:40,15,14,227,3,on-street,213
8283,407 - Oakland 1,1/6/2014 15:40,1/6/2014 15:50,15,24,220,3,on-street,196
8283,407 - Oakland 1,1/6/2014 15:40,1/6/2014 15:50,15,24,227,3,on-street,203
8312,407 - Oakland 1,1/6/2014 15:50,1/6/2014 16:00,15,18,220,3,on-street,202
8312,407 - Oakland 1,1/6/2014 15:50,1/6/2014 16:00,15,18,227,3,on-street,209
8337,407 - Oakland 1,1/6/2014 16:00,1/6/2014 16:10,16,15,220,3,on-street,205
8337,407 - Oakland 1,1/6/2014 16:00,1/6/2014 16:10,16,15,227,3,on-street,212
8363,407 - Oakland 1,1/6/2014 16:10,1/6/2014 16:20,16,13,220,3,on-street,207
8363,407 - Oakland 1,1/6/2014 16:10,1/6/2014 16:20,16,13,227,3,on-street,214
8391,407 - Oakland 1,1/6/2014 16:20,1/6/2014 16:30,16,7,220,3,on-street,213
8391,407 - Oakland 1,1/6/2014 16:20,1/6/2014 16:30,16,7,227,3,on-street,220
8412,407 - Oakland 1,1/6/2014 16:30,1/6/2014 16:40,16,11,220,3,on-street,209
8412,407 - Oakland 1,1/6/2014 16:30,1/6/2014 16:40,16,11,227,3,on-street,216
8437,407 - Oakland 1,1/6/2014 16:40,1/6/2014 16:50,16,18,220,3,on-street,202
8437,407 - Oakland 1,1/6/2014 16:40,1/6/2014 16:50,16,18,227,3,on-street,209
8459,407 - Oakland 1,1/6/2014 16:50,1/6/2014 17:00,16,19,220,3,on-street,201
8459,407 - Oakland 1,1/6/2014 16:50,1/6/2014 17:00,16,19,227,3,on-street,208
8485,407 - Oakland 1,1/6/2014 17:00,1/6/2014 17:10,17,14,220,3,on-street,206
8485,407 - Oakland 1,1/6/2014 17:00,1/6/2014 17:10,17,14,227,3,on-street,213
8513,407 - Oakland 1,1/6/2014 17:10,1/6/2014 17:20,17,12,220,3,on-street,208
8513,407 - Oakland 1,1/6/2014 17:10,1/6/2014 17:20,17,12,227,3,on-street,215
8540,407 - Oakland 1,1/6/2014 17:20,1/6/2014 17:30,17,9,220,3,on-street,211
8540,407 - Oakland 1,1/6/2014 17:20,1/6/2014 17:30,17,9,227,3,on-street,218
8564,407 - Oakland 1,1/6/2014 17:30,1/6/2014 17:40,17,8,220,3,on-street,212
8564,407 - Oakland 1,1/6/2014 17:30,1/6/2014 17:40,17,8,227,3,on-street,219
8590,407 - Oakland 1,1/6/2014 17:40,1/6/2014 17:50,17,4,220,3,on-street,216
8590,407 - Oakland 1,1/6/2014 17:40,1/6/2014 17:50,17,4,227,3,on-street,223
8614,407 - Oakland 1,1/6/2014 17:50,1/6/2014 18:00,17,4,220,3,on-street,216
8614,407 - Oakland 1,1/6/2014 17:50,1/6/2014 18:00,17,4,227,3,on-street,223
8631,407 - Oakland 1,1/6/2014 18:00,1/6/2014 18:10,18,5,220,3,on-street,215
8631,407 - Oakland 1,1/6/2014 18:00,1/6/2014 18:10,18,5,227,3,on-street,222
8647,407 - Oakland 1,1/6/2014 18:10,1/6/2014 18:20,18,1,220,3,on-street,219
8647,407 - Oakland 1,1/6/2014 18:10,1/6/2014 18:20,18,1,227,3,on-street,226
8661,407 - Oakland 1,1/6/2014 18:20,1/6/2014 18:30,18,2,220,3,on-street,218
8661,407 - Oakland 1,1/6/2014 18:20,1/6/2014 18:30,18,2,227,3,on-street,225
8677,407 - Oakland 1,1/6/2014 18:30,1/6/2014 18:40,18,2,220,3,on-street,218
8677,407 - Oakland 1,1/6/2014 18:30,1/6/2014 18:40,18,2,227,3,on-street,225
8701,407 - Oakland 1,1/6/2014 18:50,1/6/2014 19:00,18,1,220,3,on-street,219
8701,407 - Oakland 1,1/6/2014 18:50,1/6/2014 19:00,18,1,227,3,on-street,226
8726,407 - Oakland 1,1/6/2014 19:10,1/6/2014 19:20,19,1,220,3,on-street,219
8726,407 - Oakland 1,1/6/2014 19:10,1/6/2014 19:20,19,1,227,3,on-street,226
8747,407 - Oakland 1,1/6/2014 19:30,1/6/2014 19:40,19,1,220,3,on-street,219
8747,407 - Oakland 1,1/6/2014 19:30,1/6/2014 19:40,19,1,227,3,on-street,226
